c_id,artist,track,album,song_url,filename
c00113,Pause,ข้อความ,Mild,http://chordtabs.in.th/song.php?song_id=113&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000903.png
c00114,Y not 7,กองไว้,Never Die,http://chordtabs.in.th/song.php?song_id=114&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9001001.png
c00115,Paradox,ใครสักคน,In Paradise,http://chordtabs.in.th/song.php?song_id=115&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000303.png
c00116,Instinct,นับถอยหลัง,Inner,http://chordtabs.in.th/song.php?song_id=116&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0000604.png
c00117,Clash,ขอเจ็บแทน,Clashing,http://chordtabs.in.th/song.php?song_id=117&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0001104.png
c00118,Boy Peacemaker,ฉันพร้อม,3 to 1,http://chordtabs.in.th/song.php?song_id=118&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0001203.png
c00119,Boy Peacemaker,กว่าจะบอกรัก,3 to 1,http://chordtabs.in.th/song.php?song_id=119&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0001204.png
c00120,Bodyslam,งมงาย,Bodyslam,http://chordtabs.in.th/song.php?song_id=120&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002105.png
c00121,Bodyslam,นาทีสุดท้าย,Bodyslam,http://chordtabs.in.th/song.php?song_id=121&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002106.png
c00122,Bodyslam,ป่านนี้,Bodyslam,http://chordtabs.in.th/song.php?song_id=122&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002107.png
c00123,Bodyslam,ย้ำ,Bodyslam,http://chordtabs.in.th/song.php?song_id=123&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002108.png
c00124,Bodyslam,ยกโทษ,Bodyslam,http://chordtabs.in.th/song.php?song_id=124&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002109.png
